"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Gsta4",1,0,0,0.97513076188797,0.97513076188797,0.967844887417767,0.977158379249116,0.985198425605523
"Blvrb",2,0,0,0.95809808711674,0.95809808711674,0.956439441386974,0.956772225833728,0.96846948426293
"Sqstm1",2,0,0,0.958957942538181,0.958957942538181,0.61234700476908,0.965512540227951,0.950068933197363
"Gclm",3,0,0,0.959079906507359,0.911148564854862,0.751067949316894,0.906993745771221,0.959079906507359
"Cth",3,0,0,0.957887930293708,0.957887930293708,0.595366207427852,0.964723622020304,0.9492756920383
"Cbr3",3,0,0,0.946376235128642,0.89526610351852,0.892635369900764,0.873892941456592,0.946376235128642
"Taldo1",4,0,0,0.941143306048396,0.905889737790907,0.889106056802109,0.922362132205333,0.941143306048396
"Slc7a11",5,0,0,0.953326089765501,0.953326089765501,0.638216753122267,0.951341199356772,0.951655821776965
"Cryab",5,0,0,0.869389247746249,0.83021182555944,0.829334522153833,0.845242366203005,0.869389247746249
"Ccnd2",6,0,0,0.933169679409533,0.933169679409533,0.754479957335788,0.886974313462756,0.883415737744591
"Sct",6,0,0,0.10821502582448,0.119197799262361,0.168732470766467,0.111668532158969,0.10821502582448
"Serpinb6a",6,0,0,0.945977973877762,0.907618227269381,0.831369270692492,0.950725237771715,0.945977973877762
"Psph",7,0,0,0.933453327468887,0.933453327468887,0.577416917413891,0.931183583295337,0.913533901082706
"Lgals3",7,0,0,0.943753102850188,0.905715862458778,0.717405396571273,0.943753102850188,0.931845887146312
"Cyb5a",7,0,0,0.895186695274142,0.862963323656147,0.842299018282282,0.82935982309128,0.895186695274142
"Mt2",8,0,0,0.920519877695306,0.920519877695306,0.700038331128263,0.935969356583209,0.920902327990766
"Fth1",8,0,0,0.936752078812734,0.936752078812734,0.861226746633393,0.932283572053506,0.943377806673038
"Cst6",9,1.53985668280474e-313,4.4782777933291e-311,0.831739840772601,0.785570262289718,0.831739840772601,0.797073527861238,0.826475066670633
"Fabp5",10,0,0,0.0844190993830661,0.0844190993830661,0.223656918661131,0.092559583451745,0.0909026930010772
"Nqo1",10,1.82804288961261e-322,5.48165834060863e-320,0.846602635274446,0.835105105993936,0.832512108174422,0.813628800315051,0.846602635274446
"Ghitm",10,0,0,0.922358590767485,0.922358590767485,0.668433213788239,0.931126152200431,0.898496695031635
"Tpm1",11,0,0,0.077829102296194,0.077829102296194,0.297571860113424,0.0802710398554343,0.0923132015979451
"Dpysl3",11,4.09808593700563e-292,1.13070394167046e-289,0.165996814410007,0.185972955012861,0.181524638098776,0.207788459457138,0.165996814410007
"Creg1",12,0,0,0.925934626403196,0.903192840155421,0.814511100705497,0.901921899296932,0.925934626403196
"Ctsb",12,0,0,0.919109991689205,0.919109991689205,0.786057495617188,0.927103985543424,0.925953251929367
"Srxn1",13,0,0,0.923603123038226,0.854982483041586,0.696397519067452,0.835348926195632,0.923603123038226
"Gstm1",13,0,0,0.885727896813085,0.869806787269737,0.816822715037361,0.876549819118235,0.885727896813085
"mt-Co2",13,0,0,0.933221566720269,0.812016074397849,0.760318734352379,0.933221566720269,0.910969859898542
"Slc3a2",14,0,0,0.923319154195333,0.899566998440745,0.524263227868074,0.923319154195333,0.871850348522346
"mt-Nd2",14,0,0,0.926033470842306,0.926033470842306,0.780482144306752,0.682050112034276,0.738835809611622
"Chchd10",15,0,0,0.89999927330932,0.89999927330932,0.803165489942245,0.905355021921571,0.900092458861963
"Eif4ebp1",15,0,0,0.92157994435565,0.92157994435565,0.531704305182444,0.922739780930921,0.882733437219601
"Capg",16,0,0,0.872075042369947,0.841138336020498,0.784482908778904,0.865928627637728,0.872075042369947
"Esd",16,0,0,0.928943148893956,0.881380503302783,0.818277711981085,0.917002117793445,0.928943148893956
"mt-Nd1",18,1.59150219593698e-168,2.53709027842668e-166,0.833989469422996,0.729354479077355,0.833989469422996,0.577601279474022,0.657745800068852
"Gdf15",19,0,0,0.914559882302914,0.88057522924704,0.522476798377728,0.914559882302914,0.810968659864641
"Selenow",20,0,0,0.876510694446831,0.876510694446831,0.807181656754154,0.878546186819686,0.864194382241298
"Gadd45a",21,0,0,0.910279781950367,0.8836347826622,0.583789722849277,0.910279781950367,0.792215442586253
"Ctsl",21,0,0,0.903979849930761,0.85245065558108,0.794719094116629,0.904291516746488,0.903979849930761
"Atf5",22,0,0,0.899798982505744,0.899798982505744,0.57061058853066,0.880196746013514,0.868703947136507
"Txnrd1",22,2.37988956991166e-216,4.83184938057258e-214,0.83210878832327,0.737451696287003,0.796798625025334,0.74753556014694,0.83210878832327
"Atf4",23,0,0,0.853617604118862,0.853617604118862,0.212188008539294,0.812775957283834,0.572623239106505
"Thbs1",26,0,0,0.10949584216236,0.10949584216236,0.29842275202448,0.10868134714845,0.143580087387469
"Slpi",26,2.28939563011256e-158,3.59635644931775e-156,0.827371466993943,0.822724232874553,0.81085109620038,0.786684190424054,0.827371466993943
"Neat1",27,0,0,0.874300918261196,0.874300918261196,0.550368473426529,0.867156989730831,0.819461087275716
"Pgd",28,8.06894895014514e-263,2.04296294536546e-260,0.841283547510217,0.800194408322083,0.786137974858436,0.753166425886656,0.841283547510217
"Prdx6",29,5.82702635766624e-180,9.79714330026034e-178,0.822674584307007,0.764843452792794,0.794543727860817,0.77598601683761,0.822674584307007
"Plin2",29,0,0,0.888126277067327,0.79388662713045,0.628679989914559,0.88845460429801,0.888126277067327
"Ampd3",29,0,0,0.903618996879519,0.88837468892865,0.64326616694631,0.903618996879519,0.896825491570137
"Mt1",30,0,0,0.888636254138006,0.835085214825678,0.733116508889005,0.888636254138006,0.879323590891443
"Dynap",30,0,0,0.137793309862816,0.137793309862816,0.278154751312693,0.148298224139773,0.142876786269212
"Pclaf",31,0,0,0.135242121665206,0.135242121665206,0.513223782287793,0.123176815852518,0.130376839395713
